Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42A,Q36A,Q42C
70,2,2,2,2,4,2,neu,far,2.0,45.0
80,2,2,2,2,4,2,pro,not,2.0,0.0
80,2,1,1,1,3,2,pro,not,0.0,0.0
78,2,1,1,1,2,2,neu,far,2.0,70.0
65,1,0,0,1,2,2,con,far,1.0,30.0
70,2,2,2,1,1,2,con,far,2.0,60.0
65,2,1,0,3,3,2,con,not,1.0,0.0
75,1,0,0,1,4,2,neu,gu,1.0,30.0
60,0,1,1,2,2,1,pro,far,0.0,60.0
40,1,2,2,2,1,1,pro,not,1.0,0.0
60,2,2,2,1,1,2,pro,not,1.0,0.0
50,0,1,1,3,2,2,pro,gu,1.0,30.0
75,2,0,0,5,4,1,pro,dong,0.0,30.0
75,2,2,2,1,1,2,pro,dong,2.0,30.0
75,2,2,2,1,1,2,pro,dong,2.0,30.0
75,2,0,0,5,4,1,pro,dong,0.0,30.0
80,2,2,0,1,2,2,con,far,0.0,70.0
60,2,1,0,2,1,2,pro,dong,1.0,20.0
70,2,2,2,2,1,2,con,far,0.0,70.0
70,2,1,1,3,3,1,con,not,0.0,0.0
70,2,1,1,3,2,1,con,not,0.0,0.0
70,2,1,1,4,3,1,con,not,0.0,0.0
70,2,1,0,4,3,1,pro,not,0.0,0.0
70,2,1,1,3,3,1,con,not,0.0,0.0
70,2,1,1,4,3,1,pro,not,0.0,0.0
60,2,1,1,4,3,1,con,not,0.0,0.0
60,2,1,0,1,1,2,neu,not,1.0,0.0
70,1,1,2,1,1,2,neu,far,2.0,60.0
70,2,1,1,4,2,1,pro,gu,0.0,10.0
30,0,0,0,5,1,2,neu,gu,2.0,15.0
30,0,0,0,5,1,2,neu,gu,2.0,15.0
80,2,0,1,4,3,1,pro,dong,1.0,10.0
80,2,0,0,4,3,1,pro,far,1.0,40.0
68,1,1,1,4,3,1,neu,dong,1.0,10.0
70,2,1,1,3,3,1,con,not,0.0,0.0
70,2,1,1,4,3,1,con,not,0.0,0.0
70,2,0,1,4,2,1,con,not,0.0,0.0
70,2,1,1,3,2,1,con,not,0.0,0.0
88,2,0,0,3,2,2,pro,far,1.0,70.0
50,0,1,1,2,1,2,neu,far,0.0,50.0
60,2,1,1,3,3,1,con,not,1.0,0.0
60,2,1,1,2,1,1,con,not,1.0,0.0
50,2,1,1,1,1,1,con,not,1.0,0.0
70,2,1,1,2,2,1,pro,far,1.0,50.0
60,2,1,1,4,1,1,neu,gu,1.0,25.0
80,2,1,1,2,1,2,pro,far,1.0,70.0
80,2,1,1,4,1,1,pro,far,1.0,15.0
70,1,1,1,3,1,2,pro,not,2.0,0.0
80,2,1,1,2,2,1,neu,gu,1.0,20.0
80,2,1,1,5,3,2,con,not,1.0,0.0
90,2,1,0,2,2,2,neu,far,0.0,60.0
80,2,2,2,1,1,2,neu,far,2.0,40.0
90,2,0,2,3,4,2,neu,far,2.0,40.0
70,2,1,1,2,2,1,neu,not,1.0,0.0
80,2,1,1,2,2,1,pro,far,1.0,50.0
90,2,1,1,2,1,1,neu,dong,1.0,10.0
70,2,1,1,5,1,2,neu,not,2.0,0.0
80,2,1,1,2,2,1,con,far,1.0,15.0
70,2,1,1,2,2,1,pro,not,1.0,0.0
70,2,2,0,2,2,2,pro,dong,2.0,5.0
80,2,1,1,2,2,1,neu,dong,1.0,5.0
80,2,0,0,2,2,2,pro,not,0.0,0.0
50,2,2,1,2,4,1,neu,not,2.0,0.0
80,2,1,1,4,2,1,neu,far,1.0,30.0
50,0,1,1,5,2,1,pro,dong,1.0,10.0
60,2,1,1,2,2,1,con,not,1.0,0.0
80,2,1,1,2,4,1,neu,gu,1.0,25.0
70,2,1,1,5,2,1,neu,far,1.0,20.0
80,2,1,1,5,4,1,neu,far,1.0,60.0
70,2,1,1,4,2,1,neu,far,1.0,120.0
85,2,1,1,2,4,1,pro,far,1.0,60.0
90,2,1,1,2,2,1,pro,dong,1.0,10.0
70,2,1,1,4,2,1,pro,dong,1.0,10.0
40,2,1,1,5,1,1,con,not,1.0,0.0
80,2,1,1,1,1,1,pro,not,1.0,0.0
75,2,2,1,4,2,2,con,not,1.0,0.0
80,2,2,0,1,2,2,con,not,2.0,0.0
60,2,1,1,2,2,1,neu,not,1.0,0.0
80,2,1,1,5,4,1,neu,not,1.0,0.0
80,2,1,1,2,4,1,neu,dong,1.0,5.0
90,0,1,1,5,1,1,neu,dong,1.0,5.0
90,2,1,1,2,1,1,con,not,2.0,0.0
60,2,1,1,5,4,2,con,not,1.0,0.0
80,2,1,1,2,2,1,pro,not,1.0,0.0
60,2,1,1,1,2,1,neu,gu,1.0,30.0
80,2,1,1,2,2,1,neu,not,1.0,0.0
70,2,1,1,5,4,1,con,not,1.0,0.0
90,2,1,1,4,1,1,pro,far,0.0,20.0
85,2,1,1,1,2,1,pro,not,1.0,0.0
80,2,2,0,2,2,2,pro,not,0.0,0.0
85,2,1,1,1,1,1,neu,far,1.0,60.0
90,2,1,1,2,2,1,pro,gu,1.0,20.0
50,2,1,1,2,1,1,con,not,1.0,0.0
90,2,1,1,4,1,1,pro,far,1.0,30.0
70,0,0,2,2,1,1,con,not,1.0,0.0
50,1,1,0,2,2,2,neu,far,1.0,80.0
50,2,1,1,5,1,1,neu,far,0.0,20.0
50,0,1,1,2,1,1,con,far,1.0,60.0
20,1,1,1,4,1,1,con,not,2.0,0.0
50,1,1,1,4,1,1,neu,far,2.0,80.0
50,0,1,1,1,1,1,neu,far,1.0,30.0
50,1,1,1,1,1,1,con,not,2.0,0.0
50,0,0,0,2,1,1,con,far,0.0,60.0
50,0,0,0,1,1,1,neu,far,2.0,40.0
50,2,1,1,5,2,2,pro,far,0.0,60.0
60,2,0,1,2,4,2,con,dong,2.0,10.0
80,2,1,1,3,4,1,pro,not,0.0,0.0
70,0,1,1,1,4,2,pro,gu,0.0,20.0
70,0,1,1,1,4,2,neu,dong,0.0,15.0
70,0,1,1,3,4,2,neu,dong,2.0,10.0
80,2,1,1,3,4,2,neu,far,2.0,40.0
80,0,1,1,1,4,2,neu,dong,2.0,15.0
50,0,1,1,3,4,2,pro,dong,0.0,15.0
60,0,1,2,2,3,2,neu,not,1.0,0.0
60,2,1,1,1,2,1,pro,not,0.0,0.0
50,1,1,1,3,2,1,pro,not,0.0,0.0
40,2,0,1,5,2,2,con,gu,2.0,20.0
50,1,1,1,3,2,1,con,not,0.0,0.0
50,1,1,1,2,1,1,con,not,1.0,0.0
60,0,0,2,4,2,2,neu,not,0.0,0.0
40,0,1,1,1,2,1,neu,not,1.0,0.0
60,2,1,1,3,1,1,pro,far,0.0,60.0
70,2,1,1,5,4,2,pro,far,1.0,20.0
70,2,1,1,4,2,1,pro,not,0.0,0.0
80,2,1,1,3,2,1,pro,not,0.0,0.0
50,2,1,0,1,1,1,con,far,1.0,30.0
50,0,1,2,2,1,2,neu,far,2.0,60.0
50,0,0,1,4,2,2,neu,far,1.0,60.0
50,0,1,1,1,1,1,con,dong,1.0,10.0
70,0,1,1,1,1,1,con,not,1.0,0.0
50,0,1,1,1,1,1,con,far,1.0,40.0
80,2,2,0,3,3,2,pro,dong,2.0,5.0
80,2,1,1,1,4,2,neu,far,1.0,60.0
50,2,1,1,1,4,1,pro,gu,1.0,10.0
50,0,1,0,1,3,1,con,far,1.0,40.0
70,0,1,1,4,1,1,neu,far,1.0,60.0
70,2,1,0,3,2,2,pro,far,0.0,35.0
80,2,0,0,2,2,2,neu,dong,2.0,15.0
60,2,1,1,3,2,2,neu,far,1.0,60.0
70,2,1,1,1,2,2,pro,not,1.0,0.0
80,2,0,1,3,1,2,neu,dong,1.0,3.0
60,2,1,1,3,1,2,neu,dong,1.0,5.0
50,0,1,2,1,1,1,neu,far,1.0,30.0
50,0,0,1,1,1,1,pro,far,1.0,20.0
70,0,0,1,1,1,1,neu,not,1.0,0.0
50,0,1,0,1,1,2,neu,far,1.0,70.0
70,2,1,1,3,4,1,con,dong,0.0,10.0
70,0,1,1,5,1,2,neu,far,2.0,30.0
50,0,1,1,4,2,2,neu,far,0.0,60.0
60,2,0,2,2,4,2,neu,gu,1.0,40.0
60,2,1,1,4,2,1,pro,not,1.0,0.0
60,2,0,0,4,1,1,pro,gu,1.0,30.0
70,2,1,1,4,1,1,neu,gu,1.0,30.0
50,2,1,1,4,3,2,con,not,0.0,0.0
70,2,0,0,4,3,1,pro,far,0.0,90.0
70,2,0,0,4,2,1,pro,not,0.0,0.0
70,2,0,0,4,3,1,pro,far,0.0,30.0
60,2,0,0,4,3,1,pro,gu,0.0,30.0
60,2,2,2,2,3,2,con,not,2.0,0.0
75,0,1,2,2,4,2,neu,gu,0.0,20.0
75,2,1,2,4,3,2,pro,far,0.0,60.0
85,1,1,0,2,2,2,pro,far,2.0,60.0
80,2,1,0,3,1,1,con,not,1.0,0.0
50,2,1,1,3,2,1,con,not,0.0,0.0
75,2,1,0,1,2,2,neu,far,1.0,60.0
60,2,1,0,2,2,2,con,far,1.0,90.0
70,2,0,1,2,3,2,con,not,1.0,0.0
70,2,0,0,3,1,2,con,not,0.0,0.0
60,0,1,0,4,2,1,pro,gu,0.0,20.0
75,2,0,0,1,2,1,con,not,1.0,0.0
40,2,1,1,4,4,1,pro,gu,0.0,30.0
80,2,0,0,5,1,1,neu,gu,1.0,30.0
65,2,1,1,3,2,2,pro,not,1.0,0.0
50,1,0,0,2,2,2,con,not,0.0,0.0
89,2,2,0,3,2,2,neu,not,2.0,0.0
80,2,1,0,1,4,1,pro,gu,0.0,20.0
80,2,2,2,3,3,2,neu,not,2.0,0.0
60,1,1,2,2,3,1,con,far,0.0,40.0
80,2,0,0,2,1,2,pro,far,0.0,60.0
50,2,1,2,2,2,2,neu,not,0.0,0.0
50,2,1,2,2,1,1,neu,not,0.0,0.0
89,2,1,0,2,2,2,pro,not,2.0,0.0
65,2,1,2,4,4,1,pro,far,1.0,40.0
90,2,1,1,4,1,2,pro,not,1.0,0.0
60,2,1,1,3,3,2,con,not,1.0,0.0
60,2,1,1,3,3,2,neu,not,1.0,0.0
50,2,1,1,2,4,1,con,not,1.0,0.0
60,1,2,2,5,1,1,con,not,0.0,0.0
65,2,1,1,2,3,1,neu,not,1.0,0.0
60,0,1,2,1,4,1,con,gu,1.0,30.0
60,0,1,1,2,2,1,neu,gu,0.0,30.0
100,2,2,0,5,2,2,pro,not,2.0,0.0
60,2,2,2,1,1,2,con,far,2.0,40.0
80,0,2,1,4,4,1,neu,far,0.0,90.0
80,2,0,0,2,4,1,con,not,0.0,0.0
50,2,1,1,4,3,2,neu,far,2.0,80.0
70,2,0,0,4,2,1,pro,gu,1.0,25.0
70,2,0,2,3,2,2,neu,not,0.0,0.0
70,2,0,1,5,3,1,pro,dong,1.0,10.0
70,2,1,1,3,4,2,neu,dong,1.0,18.0
60,2,0,0,2,2,2,neu,not,1.0,0.0
70,2,0,0,3,2,1,neu,not,1.0,0.0
78,2,0,2,4,2,2,con,gu,2.0,35.0
82,2,0,2,3,3,2,pro,gu,2.0,30.0
85,2,0,2,3,2,2,pro,far,2.0,55.0
78,2,2,1,3,3,2,con,far,0.0,60.0
84,2,2,0,1,2,1,con,dong,2.0,20.0
75,2,2,0,2,3,2,pro,gu,0.0,15.0
80,2,0,0,2,1,2,pro,far,2.0,40.0
64,2,2,2,3,2,2,neu,far,2.0,40.0
72,2,0,1,5,2,2,pro,far,0.0,40.0
73,2,0,0,4,3,2,con,gu,2.0,35.0
81,2,1,2,4,2,2,pro,gu,2.0,30.0
81,2,1,0,3,3,2,con,far,0.0,40.0
76,2,1,0,4,3,2,neu,far,2.0,50.0
69,2,2,1,3,4,2,pro,not,2.0,0.0
69,2,2,0,2,3,2,pro,far,2.0,50.0
74,2,0,2,2,4,2,pro,gu,2.0,30.0
75,2,0,0,3,4,2,pro,far,0.0,45.0
73,2,2,2,3,3,2,neu,gu,2.0,35.0
82,2,2,1,1,2,2,pro,dong,0.0,15.0
81,0,0,0,3,4,2,pro,far,0.0,40.0
84,2,2,0,4,3,2,pro,dong,2.0,15.0
70,2,1,1,2,2,1,pro,dong,1.0,10.0
74,2,2,0,3,3,2,neu,far,0.0,40.0
82,2,0,0,2,3,2,pro,gu,2.0,30.0
71,2,0,1,2,3,2,pro,gu,0.0,35.0
78,2,0,0,2,2,2,pro,dong,2.0,15.0
82,2,2,2,5,4,2,pro,gu,0.0,20.0
75,2,2,0,4,3,2,con,far,0.0,40.0
79,2,2,0,2,2,2,con,gu,2.0,25.0
69,2,2,1,3,3,2,pro,dong,0.0,15.0
79,2,0,0,2,3,2,pro,far,0.0,50.0
83,2,2,2,2,3,2,pro,not,0.0,0.0
60,2,2,2,4,3,1,neu,dong,1.0,5.0
60,2,1,1,5,3,2,neu,not,1.0,0.0
70,2,0,0,3,2,1,neu,not,1.0,0.0
70,2,1,1,3,3,2,con,not,1.0,0.0
70,2,0,0,3,3,1,con,gu,1.0,35.0
60,0,2,0,3,2,1,con,dong,1.0,10.0
70,2,1,1,5,2,1,pro,dong,1.0,5.0
70,2,2,2,3,3,1,con,far,1.0,40.0
70,2,1,1,5,3,1,con,dong,1.0,18.0
70,2,1,0,3,4,2,pro,dong,1.0,5.0
70,2,1,1,3,4,2,con,not,1.0,0.0
60,2,1,1,5,4,2,con,dong,1.0,5.0
60,2,1,1,5,1,1,neu,not,0.0,0.0
60,2,1,1,5,3,2,con,not,1.0,0.0
60,2,2,0,3,3,1,neu,gu,2.0,25.0
60,2,1,0,3,3,1,neu,dong,1.0,5.0
70,2,1,1,3,3,2,pro,gu,0.0,15.0
70,2,1,1,5,3,1,con,far,1.0,40.0
50,1,0,0,5,4,2,con,far,2.0,60.0
70,2,0,0,3,3,2,pro,gu,1.0,10.0
70,0,1,1,2,1,1,neu,not,0.0,0.0
70,2,0,0,3,3,2,neu,dong,1.0,5.0
75,2,0,1,2,2,1,con,not,2.0,0.0
90,0,1,2,2,1,1,con,not,1.0,0.0
75,2,1,1,5,2,2,neu,not,1.0,0.0
70,0,1,1,4,2,2,con,far,1.0,40.0
75,0,2,1,1,2,2,con,gu,2.0,30.0
75,2,0,2,3,2,2,pro,far,2.0,30.0
70,1,1,2,4,2,2,con,gu,2.0,30.0
80,2,2,2,1,1,2,neu,far,2.0,40.0
75,0,2,1,4,4,2,pro,far,2.0,40.0
75,2,1,1,2,2,2,pro,far,1.0,40.0
80,2,1,1,1,3,2,pro,dong,2.0,20.0
80,2,0,0,1,1,2,con,far,1.0,40.0
60,2,1,1,5,4,2,con,far,1.0,40.0
60,2,0,0,3,2,1,neu,dong,1.0,5.0
60,2,1,1,3,3,2,pro,dong,1.0,5.0
70,0,1,0,5,4,2,con,far,1.0,35.0
60,2,1,1,5,3,2,neu,not,1.0,0.0
60,1,0,1,2,3,2,neu,not,2.0,0.0
60,2,1,1,5,3,2,con,not,1.0,0.0
70,2,1,1,5,3,2,con,not,1.0,0.0
0,2,1,1,4,2,2,con,not,1.0,0.0
70,2,1,1,2,3,1,con,not,1.0,0.0
70,2,1,1,1,2,2,con,not,1.0,0.0
70,2,1,1,1,2,1,con,not,2.0,0.0
50,2,0,2,5,2,2,con,dong,0.0,10.0
80,2,0,0,2,2,2,con,not,2.0,0.0
60,2,2,1,2,4,2,con,far,0.0,30.0
50,0,0,0,3,2,2,con,not,0.0,0.0
75,2,0,1,3,2,2,neu,gu,0.0,30.0
90,2,1,1,3,2,1,con,not,2.0,0.0
80,2,1,1,5,3,2,pro,far,2.0,40.0
80,2,0,0,2,2,1,con,dong,2.0,20.0
70,2,1,1,1,1,1,con,dong,1.0,5.0
90,2,1,1,5,2,1,pro,far,1.0,100.0
70,2,1,1,5,2,1,con,far,0.0,30.0
50,1,1,1,4,2,2,con,not,1.0,0.0
60,1,1,1,2,1,2,con,dong,1.0,40.0
80,2,0,0,2,1,2,neu,not,0.0,0.0
50,0,0,1,5,1,2,con,not,1.0,0.0
30,2,1,1,5,4,1,con,not,1.0,0.0
30,2,1,1,3,3,1,neu,not,1.0,0.0
70,1,0,0,2,3,2,neu,far,0.0,60.0
50,2,2,0,3,1,2,pro,far,0.0,40.0
49,2,0,0,3,1,1,con,not,2.0,0.0
50,2,2,0,1,3,2,pro,gu,2.0,5.0
70,2,2,0,1,2,2,pro,far,2.0,50.0
40,2,2,2,3,2,2,con,far,2.0,50.0
60,0,2,2,2,1,2,neu,gu,2.0,30.0
30,2,1,1,2,3,1,con,far,1.0,40.0
60,2,1,1,3,4,2,con,dong,1.0,5.0
70,2,1,1,2,3,2,pro,not,1.0,0.0
70,2,1,1,1,2,2,con,not,1.0,0.0
60,0,1,1,5,1,1,con,dong,1.0,5.0
65,2,0,0,3,1,2,pro,dong,2.0,20.0
70,2,0,0,1,4,1,con,not,2.0,0.0
60,1,0,2,1,1,2,neu,far,2.0,110.0
40,1,1,1,5,1,2,neu,not,1.0,0.0
40,1,1,1,2,1,2,con,dong,1.0,10.0
50,2,0,0,5,1,1,con,gu,0.0,30.0
47,2,2,0,5,1,2,neu,far,1.0,40.0
70,2,0,0,3,2,1,neu,far,1.0,60.0
50,2,1,1,3,3,1,con,not,1.0,0.0
63,2,0,0,5,1,2,pro,far,0.0,50.0
60,2,1,1,3,2,1,con,far,1.0,50.0
60,0,2,1,3,2,1,pro,far,2.0,40.0
55,2,1,1,2,1,1,neu,gu,0.0,20.0
30,1,1,1,1,2,2,con,not,1.0,0.0
90,2,1,1,2,3,2,con,not,0.0,0.0
70,2,0,0,3,1,2,con,not,1.0,0.0
70,2,0,1,5,2,1,con,far,1.0,60.0
60,2,1,1,5,4,1,con,gu,1.0,10.0
60,2,0,1,5,2,1,con,gu,1.0,10.0
50,2,1,1,3,3,1,pro,far,1.0,40.0
70,2,1,1,2,2,1,con,not,1.0,0.0
80,2,1,1,4,2,2,con,not,1.0,0.0
60,2,2,2,5,3,2,neu,far,2.0,90.0
30,0,1,1,5,3,2,con,gu,0.0,30.0
50,2,1,1,4,3,1,con,gu,0.0,30.0
60,2,2,2,1,4,2,pro,far,2.0,60.0
70,2,2,2,3,1,2,con,dong,2.0,10.0
70,2,2,2,1,2,2,pro,far,2.0,90.0
60,2,1,1,3,2,2,neu,far,1.0,120.0
60,2,1,1,2,2,2,neu,far,0.0,60.0
70,2,0,0,5,2,2,con,not,2.0,0.0
80,2,0,2,3,1,1,pro,not,1.0,0.0
70,2,2,1,4,1,1,neu,gu,2.0,20.0
100,2,0,1,4,2,2,con,gu,2.0,30.0
50,2,0,1,3,2,2,neu,not,2.0,0.0
50,1,0,1,3,2,1,pro,gu,2.0,40.0
70,2,0,1,3,4,1,neu,far,0.0,40.0
50,0,2,2,2,1,2,neu,far,1.0,40.0
45,2,2,1,5,4,2,neu,far,2.0,60.0
50,2,2,1,2,2,2,pro,dong,2.0,5.0
50,2,2,1,1,1,2,pro,gu,2.0,30.0
60,2,0,0,1,1,2,con,not,2.0,0.0
50,0,1,0,1,4,2,con,far,2.0,40.0
40,1,1,0,3,2,2,neu,far,0.0,60.0
70,2,1,0,2,4,2,neu,far,1.0,30.0
90,2,1,0,2,4,2,pro,far,1.0,60.0
50,2,0,0,1,2,2,neu,not,1.0,0.0
60,2,2,2,2,2,2,neu,far,2.0,60.0
70,2,2,2,1,3,2,neu,dong,2.0,10.0
60,2,1,1,4,2,2,con,dong,0.0,10.0
70,0,2,2,3,2,1,neu,dong,1.0,10.0
50,0,1,2,1,3,2,neu,far,0.0,60.0
60,2,0,1,2,4,2,con,far,1.0,60.0
60,2,1,1,1,1,2,con,dong,1.0,10.0
90,2,2,1,2,1,2,pro,not,0.0,0.0
0,2,1,2,4,2,2,con,far,1.0,60.0
60,1,0,0,4,2,2,con,far,1.0,50.0
60,0,1,1,3,4,2,con,gu,1.0,40.0
65,2,0,0,5,3,2,pro,gu,2.0,25.0
50,1,0,2,5,1,2,pro,far,1.0,40.0
40,2,2,0,5,4,2,neu,not,2.0,0.0
50,2,0,2,3,3,2,pro,not,2.0,0.0
70,2,1,0,3,3,2,con,not,1.0,0.0
80,2,1,1,4,3,2,pro,gu,1.0,30.0
50,2,0,0,2,2,2,pro,gu,1.0,10.0
55,2,0,0,3,4,2,neu,gu,1.0,10.0
60,2,0,0,3,4,2,neu,dong,1.0,10.0
30,2,1,0,3,3,1,pro,not,1.0,0.0
60,0,2,1,1,2,1,neu,dong,2.0,20.0
60,2,2,2,1,2,2,pro,far,1.0,20.0
60,2,2,2,3,2,2,pro,far,2.0,30.0
70,2,1,0,4,2,2,pro,far,2.0,80.0
80,2,1,1,4,3,2,pro,gu,2.0,20.0
60,2,1,0,1,1,2,pro,not,1.0,0.0
80,2,2,2,1,1,2,pro,far,2.0,40.0
60,0,0,2,2,3,2,neu,far,2.0,70.0
65,0,1,1,5,4,1,con,gu,1.0,10.0
65,2,0,0,4,4,2,con,far,0.0,40.0
60,2,2,0,5,2,2,neu,far,1.0,70.0
40,2,0,0,3,2,2,neu,gu,2.0,10.0
50,2,2,2,1,1,2,pro,far,0.0,80.0
60,0,1,1,4,1,2,con,not,1.0,0.0
50,2,0,0,4,1,1,con,far,1.0,60.0
50,2,0,0,3,4,1,pro,far,1.0,50.0
50,0,0,0,5,4,2,pro,gu,1.0,40.0
60,0,0,0,5,4,2,pro,far,0.0,60.0
55,2,0,0,2,2,2,pro,far,2.0,60.0
50,2,1,1,1,3,1,con,not,1.0,0.0
50,0,1,1,5,4,1,con,far,0.0,30.0
50,0,1,2,2,2,2,pro,far,0.0,30.0
50,0,1,2,3,3,2,neu,gu,1.0,20.0
65,2,1,0,5,4,2,pro,far,1.0,70.0
70,2,0,0,1,2,1,neu,far,2.0,50.0
70,2,0,0,4,1,2,pro,far,2.0,40.0
50,0,1,1,2,4,2,pro,far,1.0,30.0
50,0,0,0,4,3,2,con,not,1.0,0.0
55,2,0,0,2,2,2,pro,dong,1.0,4.0
55,2,0,0,5,1,2,neu,far,2.0,70.0
50,2,1,1,2,4,2,neu,not,1.0,0.0
60,2,2,0,1,2,1,pro,far,2.0,20.0
50,0,1,0,1,2,2,con,far,1.0,30.0
10,0,0,1,2,2,2,neu,far,1.0,30.0
50,0,1,1,3,3,2,neu,far,0.0,30.0
70,0,1,0,3,2,1,neu,not,2.0,0.0
50,0,1,2,3,2,1,neu,far,1.0,60.0
100,2,1,1,4,4,2,neu,far,1.0,30.0
70,2,1,1,4,2,2,pro,gu,1.0,20.0
50,1,1,1,1,2,2,con,not,0.0,0.0
90,2,1,0,1,1,2,con,far,0.0,60.0
60,2,0,0,3,1,2,con,dong,1.0,15.0
70,0,0,0,2,1,2,neu,gu,0.0,30.0
70,0,0,0,3,3,2,pro,not,1.0,0.0
50,2,1,1,5,1,2,con,dong,1.0,10.0
80,2,1,1,2,2,1,neu,far,1.0,90.0
90,2,1,1,4,4,2,con,dong,0.0,30.0
30,0,1,1,4,3,1,con,gu,1.0,15.0
50,2,0,1,2,1,2,neu,far,2.0,90.0
50,2,2,0,3,3,2,neu,not,2.0,0.0
60,2,0,0,3,3,2,con,far,2.0,60.0
50,2,2,0,2,2,2,con,gu,2.0,10.0
65,2,1,0,5,4,2,pro,gu,0.0,20.0
50,2,0,1,1,1,1,pro,gu,2.0,30.0
50,2,0,0,5,4,2,con,far,2.0,20.0
65,2,0,0,1,2,2,pro,far,2.0,40.0
50,0,1,1,5,4,2,neu,dong,2.0,15.0
70,2,1,0,5,2,2,pro,gu,2.0,25.0
50,0,1,0,5,3,2,neu,not,2.0,0.0
70,0,1,1,3,2,2,pro,far,0.0,60.0
40,0,1,0,2,1,2,neu,gu,1.0,70.0
70,2,0,1,4,2,1,con,far,2.0,70.0
65,2,0,0,2,1,2,neu,gu,2.0,20.0
40,2,1,1,1,2,2,neu,gu,0.0,25.0
60,2,2,2,3,2,2,neu,far,2.0,20.0
80,2,1,1,2,1,2,pro,far,0.0,30.0
60,0,1,1,3,4,2,pro,far,2.0,50.0
80,2,1,1,3,1,1,pro,far,1.0,70.0
70,2,0,2,3,1,1,pro,not,0.0,0.0
100,2,1,1,4,1,1,con,gu,0.0,20.0
80,2,1,1,5,1,1,con,not,1.0,0.0
80,2,1,1,5,3,2,con,far,1.0,50.0
60,2,0,0,1,2,2,neu,far,2.0,40.0
70,2,1,1,3,2,2,pro,dong,1.0,20.0
50,2,2,2,3,2,2,pro,gu,1.0,20.0
55,2,2,2,2,2,2,pro,far,2.0,50.0
60,2,0,0,1,1,2,con,gu,1.0,30.0
80,2,1,1,1,3,2,neu,not,2.0,0.0
45,0,0,1,4,2,2,con,not,0.0,0.0
70,2,1,1,2,2,1,con,far,1.0,50.0
65,2,0,0,5,4,2,pro,far,2.0,40.0
50,2,2,2,2,3,2,pro,gu,2.0,20.0
90,2,2,2,5,4,2,neu,far,1.0,70.0
50,2,1,1,3,3,2,neu,gu,2.0,20.0
60,2,2,0,2,4,2,pro,not,2.0,0.0
70,1,1,0,3,2,2,neu,not,1.0,0.0
60,1,1,2,3,2,2,con,far,1.0,40.0
40,2,0,1,5,3,2,neu,not,2.0,0.0
50,0,0,0,2,2,2,neu,far,2.0,60.0
60,1,1,1,4,2,1,neu,not,1.0,0.0
70,0,1,1,2,2,2,pro,far,0.0,90.0
70,2,0,0,2,1,2,neu,not,2.0,0.0
80,2,0,0,3,1,2,con,far,2.0,40.0
60,1,1,2,5,3,2,neu,not,0.0,0.0
70,1,2,0,3,1,2,pro,not,2.0,0.0
70,2,1,1,3,3,2,con,not,1.0,0.0
70,0,0,0,1,2,1,neu,gu,2.0,15.0
50,2,1,2,4,1,2,neu,far,0.0,50.0
80,2,0,0,5,2,2,neu,far,0.0,40.0
80,1,1,1,4,4,2,pro,far,2.0,80.0
70,2,0,1,2,2,2,neu,not,0.0,0.0
70,0,1,0,5,2,2,con,not,1.0,0.0
50,1,1,0,5,1,2,con,far,1.0,65.0
50,1,0,0,2,3,2,con,gu,1.0,30.0
70,2,1,1,4,2,1,pro,not,0.0,0.0
70,2,1,1,4,1,1,pro,not,1.0,0.0
70,2,1,2,1,1,1,con,gu,1.0,30.0
80,2,1,1,4,2,2,con,dong,0.0,8.0
90,2,1,1,5,1,1,con,far,2.0,60.0
90,2,1,1,4,3,1,con,far,0.0,60.0
80,2,1,1,5,3,1,con,gu,1.0,15.0
70,2,1,1,5,4,2,con,gu,1.0,30.0
80,2,1,2,3,3,2,con,gu,1.0,40.0
90,2,1,1,3,1,1,pro,not,2.0,0.0
85,2,0,2,3,1,1,pro,dong,0.0,15.0
80,2,1,1,5,4,1,con,far,1.0,70.0
50,1,1,1,3,3,2,con,gu,1.0,20.0
50,1,1,1,3,4,2,con,not,1.0,0.0
60,1,1,1,3,1,2,pro,far,1.0,60.0
50,1,1,1,5,4,1,con,not,1.0,0.0
80,1,1,1,5,2,2,con,not,1.0,0.0
60,2,1,1,5,3,2,pro,not,1.0,0.0
70,2,1,1,3,3,1,con,far,1.0,60.0
60,2,1,1,5,1,2,pro,far,1.0,90.0
50,2,1,1,5,3,2,pro,not,1.0,0.0
70,2,1,1,5,2,1,con,far,0.0,60.0
60,2,1,1,1,3,1,con,dong,1.0,8.0
70,2,1,1,3,2,2,con,not,1.0,0.0
60,1,1,1,5,4,2,con,not,2.0,0.0
50,0,1,1,1,2,2,neu,not,2.0,0.0
70,0,1,1,1,1,1,con,far,1.0,30.0
60,2,1,1,3,2,2,neu,far,1.0,70.0
50,2,1,1,2,3,1,neu,gu,0.0,30.0
60,2,0,0,3,1,1,con,far,1.0,40.0
70,2,1,1,5,4,1,con,not,1.0,0.0
60,2,1,1,2,2,2,neu,gu,1.0,20.0
50,2,0,0,2,2,2,con,far,2.0,90.0
60,2,1,1,1,4,1,con,gu,1.0,40.0
70,2,0,0,1,1,2,neu,far,2.0,60.0
50,1,1,1,4,1,2,con,gu,1.0,20.0
